tier,seq_id,n_stems,scheme,encoded_vars,degree,fits_free_tier,R,seed,collapse_rate,max_stem_share,wall_time,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_hp04,14,per_stem,28,2,True,14.0,1,0.5,0.584,0.3449421999976039,-5.900000000000002,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,per_stem,28,2,True,14.0,2,0.6666666666666666,0.6667,0.3494672999950126,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,global_slack,15,2,True,7.0,0,1.0,1.0,0.3672116000088863,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,global_slack,15,2,True,7.0,1,1.0,1.0,0.35305060003884137,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,global_slack,15,2,True,7.0,2,1.0,1.0,0.34254550002515316,-1.9000000000000012,4.0,-1.9,4.0,True,False,0
A,A_hp05,24,per_stem,48,2,True,24.0,0,0.16666666666666666,0.2084,0.43146300001535565,-2.3,0.0,-2.3,0.0,True,False,0
A,A_hp05,24,per_stem,48,2,True,24.0,1,0.3333333333333333,0.3333,0.3794823999633081,0.0,2.3,0.0,2.3,True,False,0
A,A_hp05,24,per_stem,48,2,True,24.0,2,0.25,0.25,0.39694390003569424,0.0,2.3,0.0,2.3,True,False,0
A,A_hp05,24,global_slack,25,2,True,12.0,0,1.0,1.0,0.3985238000168465,1.7000000000000002,4.0,1.7,4.0,True,False,0
A,A_hp05,24,global_slack,25,2,True,12.0,1,1.0,1.0,0.37744909996399656,-2.3000000000000007,0.0,-2.3,0.0,True,False,0
A,A_hp05,24,global_slack,25,2,True,12.0,2,1.0,1.0,0.39931609999621287,-0.3000000000000007,2.0,-0.3,2.0,True,False,0
A,A_hp06,11,per_stem,22,2,True,11.0,0,0.5833333333333334,0.6538,0.34855430002789944,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,per_stem,22,2,True,11.0,1,0.6666666666666666,0.7086,0.3433360999915749,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,per_stem,22,2,True,11.0,2,0.5,0.6679,0.334694400022272,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,global_slack,12,2,True,5.5,0,1.0,1.0,0.33663969999179244,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,global_slack,12,2,True,5.5,1,1.0,1.0,0.33371039998019114,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,global_slack,12,2,True,5.5,2,1.0,1.0,0.3328258999972604,-4.2,2.4,-4.2,2.4,True,False,0
A,A_hp07,22,per_stem,44,2,True,22.0,0,0.3333333333333333,0.4585,0.3686231999890879,-9.0,0.0,-9.0,0.0,True,False,0
A,A_hp07,22,per_stem,44,2,True,22.0,1,0.4166666666666667,0.5,0.3637880000169389,-9.000000000000002,0.0,-9.0,0.0,True,False,0
A,A_hp07,22,per_stem,44,2,True,22.0,2,0.3333333333333333,0.4586,0.3652449999935925,-9.0,0.0,-9.0,0.0,True,False,0
A,A_hp07,22,global_slack,23,2,True,11.0,0,1.0,1.0,0.3608966000028886,-6.1,2.9,-6.1,2.9,True,False,0
A,A_hp07,22,global_slack,23,2,True,11.0,1,1.0,1.0,0.35305549995973706,-8.100000000000001,0.9,-8.1,0.9,True,False,0
A,A_hp07,22,global_slack,23,2,True,11.0,2,1.0,1.0,0.35962170001585037,-4.299999999999999,4.7,-4.3,4.7,True,False,0
A,A_hp08,28,per_stem,56,2,True,28.0,0,0.3333333333333333,0.4585,0.38820449996273965,-7.900000000000001,0.0,-7.9,0.0,True,False,0
A,A_hp08,28,per_stem,56,2,True,28.0,1,0.25,0.3334,0.3925116999889724,-6.000000000000001,1.9,-6.0,1.9,True,False,0
A,A_hp08,28,per_stem,56,2,True,28.0,2,0.5833333333333334,0.7501,0.3885604999959469,-7.900000000000001,0.0,-7.9,0.0,True,False,0
A,A_hp08,28,global_slack,29,2,True,14.0,0,1.0,1.0,0.3776969999889843,-2.700000000000001,5.2,-2.7,5.2,True,False,0
A,A_hp08,28,global_slack,29,2,True,14.0,1,1.0,1.0,0.3898024999652989,-2.700000000000001,5.2,-2.7,5.2,True,False,0
A,A_hp08,28,global_slack,29,2,True,14.0,2,1.0,1.0,0.3813613000093028,-2.0999999999999996,5.8,-2.1,5.8,True,False,0
A,A_rand01,3,per_stem,6,2,True,3.0,0,0.75,0.793,0.3179105999879539,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,per_stem,6,2,True,3.0,1,0.5833333333333334,0.6255,0.3161520999856293,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,per_stem,6,2,True,3.0,2,0.3333333333333333,0.4189,0.3198194000287913,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,global_slack,4,2,True,1.5,0,1.0,1.0,0.3175628000171855,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,global_slack,4,2,True,1.5,1,1.0,1.0,0.3176790000288747,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,global_slack,4,2,True,1.5,2,0.9166666666666666,0.9167,0.3202580999932252,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand02,1,per_stem,2,2,True,1.0,0,0.9166666666666666,0.9167,0.32284330000402406,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,per_stem,2,2,True,1.0,1,0.5833333333333334,0.5833,0.3193044000072405,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
A,A_rand02,1,per_stem,2,2,True,1.0,2,0.9166666666666666,0.9167,0.3191787999821827,-0.29999999999999893,0.0,-0.3,0.0,True,False,0
