seq_id,n_stems,lambda_ratio,lambda,lambda_bound,feasible,penalty_objective,hard_objective,optimality_gap,n_hard_constraints
A_rand07,9,0.25,1.27,5.1,False,-7.8,-5.1,-2.7,36
A_rand07,9,0.5,2.55,5.1,False,-7.8,-5.1,-2.7,36
A_rand07,9,0.75,3.82,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,0.9,4.59,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,1.0,5.1,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,1.1,5.61,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,1.5,7.65,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,2.0,10.2,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,3.0,15.3,5.1,True,-5.1,-5.1,0.0,36
A_rand07,9,4.0,20.4,5.1,True,-5.1,-5.1,0.0,36
A_rand08,5,0.1,0.16,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,0.25,0.4,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,0.5,0.8,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,0.75,1.2,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,0.9,1.44,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,1.0,1.6,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,1.1,1.76,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,1.5,2.4,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,2.0,3.2,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,3.0,4.8,1.6,True,-1.6,-1.6,0.0,10
A_rand08,5,4.0,6.4,1.6,True,-1.6,-1.6,0.0,10
A_rand10,7,0.1,0.44,4.4,True,0.0,0.0,0.0,20
A_rand10,7,0.25,1.1,4.4,True,0.0,0.0,0.0,20
A_rand10,7,0.5,2.2,4.4,True,0.0,0.0,0.0,20
A_rand10,7,0.75,3.3,4.4,True,0.0,0.0,0.0,20
A_rand10,7,0.9,3.96,4.4,True,0.0,0.0,0.0,20
A_rand10,7,1.0,4.4,4.4,True,0.0,0.0,0.0,20
A_rand10,7,1.1,4.84,4.4,True,0.0,0.0,0.0,20
A_rand10,7,1.5,6.6,4.4,True,0.0,0.0,0.0,20
A_rand10,7,2.0,8.8,4.4,True,0.0,0.0,0.0,20
A_rand10,7,3.0,13.2,4.4,True,0.0,0.0,0.0,20
A_rand10,7,4.0,17.6,4.4,True,0.0,0.0,0.0,20
A_rand11,9,0.1,0.27,2.7,False,-3.0,-2.5,-0.5,35
A_rand11,9,0.25,0.68,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,0.5,1.35,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,0.75,2.03,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,0.9,2.43,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,1.0,2.7,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,1.1,2.97,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,1.5,4.05,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,2.0,5.4,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,3.0,8.1,2.7,True,-2.5,-2.5,0.0,35
A_rand11,9,4.0,10.8,2.7,True,-2.5,-2.5,0.0,35
A_rand12,1,0.1,0.28,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,0.25,0.7,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,0.5,1.4,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,0.75,2.1,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,0.9,2.52,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,1.0,2.8,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,1.1,3.08,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,1.5,4.2,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,2.0,5.6,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,3.0,8.4,2.8,True,-2.8,-2.8,0.0,0
A_rand12,1,4.0,11.2,2.8,True,-2.8,-2.8,0.0,0
