seq_id,tier,length,n_stems,level,solver,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,sensitivity,ppv,f1,bp_distance,exact_match,matches_subopt,feasible_raw,was_repaired,n_removed,reference_representable,model_energy_error,level_exact_for_reference,structure,wall_time,model_level,model_n_vars,model_degree,model_n_obj_linear,model_n_obj_quadratic,model_n_obj_cubic,model_n_penalty_terms,model_lambda_conflict,model_lambda_cross,model_pseudoknot_mode,model_n_stems,model_n_conflict,model_n_crossing,model_n_nesting,res_n_vars,res_states_enumerated,res_function_evaluations,res_n_auxiliary_vars,res_branches,res_conflicts
A_hp06,A,20,11,0,brute_force,-6.6,-6.6,-6.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,4.3,True,.((((((......)))))).,0.0004910000134259462,0,11,2,11,0,0,54,16.35,16.35,False,11,54,0,1,11,2048.0,2048.0,,,
A_hp06,A,20,11,1,brute_force,-6.6,-6.6,-6.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.((((((......)))))).,0.0003996000159531832,1,11,2,11,1,0,54,12.75,12.75,False,11,54,0,1,11,2048.0,2048.0,,,
A_hp07,A,21,22,0,cpsat,-9.0,-9.0,-9.0,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.6,True,((((((((....)))))))).,0.04702479997649789,0,22,2,22,0,0,216,21.9,21.9,False,22,213,3,15,22,,,216.0,390.0,0.0
A_hp07,A,21,22,1,cpsat,-9.0,-9.0,-9.0,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,((((((((....)))))))).,0.031767799984663725,1,22,2,22,15,0,216,64.8,64.8,False,22,213,3,15,22,,,231.0,522.0,0.0
A_hp08,A,22,28,0,cpsat,-7.9,-7.9,-7.9,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.2,True,.((((((((.....)))))))),0.050941099994815886,0,28,2,28,0,0,362,19.65,19.65,False,28,355,7,16,28,,,362.0,202.0,0.0
A_hp08,A,22,28,1,cpsat,-7.9,-7.9,-7.9,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.((((((((.....)))))))),0.043350799998734146,1,28,2,28,16,0,362,69.45,69.45,False,28,355,7,16,28,,,378.0,812.0,0.0
A_rand01,A,15,3,0,brute_force,-0.5,-0.5,-0.5,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.9,True,((((...))))....,0.00010050000855699182,0,3,2,3,0,0,3,9.6,9.6,False,3,3,0,0,3,8.0,8.0,,,
A_rand01,A,15,3,1,brute_force,-0.5,-0.5,-0.5,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,((((...))))....,0.00010760000441223383,1,3,2,3,0,0,3,1.0,1.0,False,3,3,0,0,3,8.0,8.0,,,
A_rand02,A,15,1,0,brute_force,-0.3,-0.3,-0.3,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.4,True,..(((.....)))..,8.329999400302768e-05,0,1,1,1,0,0,0,8.55,8.55,False,1,0,0,0,1,2.0,2.0,,,
A_rand02,A,15,1,1,brute_force,-0.3,-0.3,-0.3,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,..(((.....)))..,6.290001329034567e-05,1,1,1,1,0,0,0,1.0,1.0,False,1,0,0,0,1,2.0,2.0,,,
