tier,seq_id,n_stems,R_fraction,R,n_selected,collapse_rate,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_rand08,5,0.75,3.75,1,1.0,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand08,5,1.0,5.0,1,1.0,-1.5999999999999996,0.0,-1.6,0.0,True,False,0
A,A_rand09,14,0.1,1.4000000000000001,1,0.75,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,0.2,2.8000000000000003,1,1.0,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,0.3,4.2,1,1.0,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,0.5,7.0,1,1.0,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,0.75,10.5,1,1.0,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand09,14,1.0,14.0,1,1.0,-2.2,2.2,-2.2,2.2,True,False,0
A,A_rand10,7,0.1,1.0,0,0.3333333333333333,0.0,0.0,0.0,3.4,True,False,0
A,A_rand10,7,0.2,1.4000000000000001,0,0.8333333333333334,0.0,0.0,0.0,3.4,True,False,0
A,A_rand10,7,0.3,2.1,1,1.0,0.5,0.5,0.5,3.9,True,False,0
A,A_rand10,7,0.5,3.5,1,1.0,0.5,0.5,0.5,3.9,True,False,0
A,A_rand10,7,0.75,5.25,1,1.0,0.5,0.5,0.5,3.9,True,False,0
A,A_rand10,7,1.0,7.0,1,1.0,0.5,0.5,0.5,3.9,True,False,0
A,A_rand11,9,0.1,1.0,1,0.6666666666666666,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,0.2,1.8,1,1.0,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,0.3,2.6999999999999997,1,1.0,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,0.5,4.5,1,1.0,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,0.75,6.75,1,1.0,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand11,9,1.0,9.0,1,1.0,-2.5,0.0,-2.5,0.0,True,False,0
A,A_rand12,1,0.1,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,0.2,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,0.3,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,0.5,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,0.75,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
A,A_rand12,1,1.0,1.0,1,0.9166666666666666,-2.7999999999999994,0.0,-2.8,0.0,True,False,0
M,M_ml02,17,0.1,1.7000000000000002,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,0.2,3.4000000000000004,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,0.3,5.1,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,0.5,8.5,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,0.75,12.75,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml02,17,1.0,17.0,1,1.0,-5.6,4.8,-5.6,4.8,True,False,0
M,M_ml04,34,0.1,3.4000000000000004,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,0.2,6.800000000000001,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,0.3,10.2,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,0.5,17.0,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,0.75,25.5,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml04,34,1.0,34.0,1,1.0,-4.5,7.9,-4.5,7.9,True,False,0
M,M_ml05,34,0.1,3.4000000000000004,1,1.0,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml05,34,0.2,6.800000000000001,1,1.0,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml05,34,0.3,10.2,1,1.0,-8.3,5.7,-8.3,5.7,True,False,0
M,M_ml05,34,0.5,17.0,1,1.0,-5.0,9.0,-5.0,9.0,True,False,0
M,M_ml05,34,0.75,25.5,1,1.0,-5.0,9.0,-5.0,9.0,True,False,0
M,M_ml05,34,1.0,34.0,1,1.0,-5.0,9.0,-5.0,9.0,True,False,0
M,M_ml06,30,0.1,3.0,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
